:START_ID;:END_ID;corresponding_author:boolean;:TYPE
Krishnendu Chakrabarty;71255;True;WRITTEN_BY
Tsung-Yi Ho;71255;True;WRITTEN_BY
Ulf Schlichtmann;71255;True;WRITTEN_BY
António Gusmão 0001;71256;True;WRITTEN_BY
Nuno Horta;71256;True;WRITTEN_BY
Nuno Lourenço 0003;71256;True;WRITTEN_BY
Ricardo Martins 0003;71256;True;WRITTEN_BY
Huidong Ji;71257;True;WRITTEN_BY
Junfu Wu;71257;True;WRITTEN_BY
Lirong Zheng 0001;71257;True;WRITTEN_BY
Xiaoze Yan;71257;True;WRITTEN_BY
Yue Cao;71257;True;WRITTEN_BY
Zhuo Zou;71257;True;WRITTEN_BY
Zhuoquan Yu;71257;True;WRITTEN_BY
Ashok Vittal;71258;True;WRITTEN_BY
Malgorzata Marek-Sadowska;71258;True;WRITTEN_BY
Jing Guo;71259;True;WRITTEN_BY
Kartik Mohanram;71259;True;WRITTEN_BY
Mihir R. Choudhury;71259;True;WRITTEN_BY
Youngki Yoon;71259;True;WRITTEN_BY
Bei Yu 0001;71260;True;WRITTEN_BY
Martin D. F. Wong;71260;True;WRITTEN_BY
Su Zheng;71260;True;WRITTEN_BY
Yuzhe Ma;71260;True;WRITTEN_BY
Ankur Srivastava 0001;71261;True;WRITTEN_BY
Yufu Zhang;71261;True;WRITTEN_BY
Peng Li 0001;71262;True;WRITTEN_BY
Wei Dong 0002;71262;True;WRITTEN_BY
Xiaoji Ye;71262;True;WRITTEN_BY
Debabrata Mohapatra;71263;True;WRITTEN_BY
Ik Joon Chang;71263;True;WRITTEN_BY
Kaushik Roy 0001;71263;True;WRITTEN_BY
Radu Marculescu;71264;True;WRITTEN_BY
Ümit Y. Ogras;71264;True;WRITTEN_BY
Bei Yu 0001;71266;True;WRITTEN_BY
Weiguo Li;71266;True;WRITTEN_BY
Wenxing Zhu;71266;True;WRITTEN_BY
Xingquan Li;71266;True;WRITTEN_BY
Zhipeng Huang 0009;71266;True;WRITTEN_BY
Wei Qin;71267;True;WRITTEN_BY
Xinping Zhu;71267;True;WRITTEN_BY
A. Miara;71268;True;WRITTEN_BY
D. Muriach;71268;True;WRITTEN_BY
Norbert Giambiasi;71268;True;WRITTEN_BY
Azadeh Davoodi;71269;True;WRITTEN_BY
Kewal K. Saluja;71269;True;WRITTEN_BY
Lin Xie;71269;True;WRITTEN_BY
Guojie Luo;71270;True;WRITTEN_BY
Jiarui Wang;71270;True;WRITTEN_BY
Jiaxi Zhang 0001;71270;True;WRITTEN_BY
Yijiang Guo;71270;True;WRITTEN_BY
Adnan Aziz;71271;True;WRITTEN_BY
Andreas Kuehlmann;71271;True;WRITTEN_BY
Malay K. Ganai;71271;True;WRITTEN_BY
L.-H. Hsu;71272;True;WRITTEN_BY
S. C. Chang;71272;True;WRITTEN_BY
Y.-C. Chang;71272;True;WRITTEN_BY
Raid Zuhair Ayoub;71273;True;WRITTEN_BY
Rajib Nath;71273;True;WRITTEN_BY
Tajana Simunic Rosing;71273;True;WRITTEN_BY
Alexandre Megretski;71274;True;WRITTEN_BY
Kin Cheong Sou;71274;True;WRITTEN_BY
Luca Daniel;71274;True;WRITTEN_BY
Bin Chen 0011;71275;True;WRITTEN_BY
Chao Zhang 0008;71275;True;WRITTEN_BY
Han Qiu 0001;71275;True;WRITTEN_BY
Tianwei Zhang 0004;71275;True;WRITTEN_BY
Ziyuan Zhang;71275;True;WRITTEN_BY
Dong Hyun Lee;71276;True;WRITTEN_BY
Joonsang Yu;71276;True;WRITTEN_BY
Jungwook Choi;71276;True;WRITTEN_BY
Junki Park;71276;True;WRITTEN_BY
Minsoo Kim;71276;True;WRITTEN_BY
Seongmin Park 0003;71276;True;WRITTEN_BY
Sihwa Lee;71276;True;WRITTEN_BY
Hongyi Li;71277;True;WRITTEN_BY
Leshan Li;71277;True;WRITTEN_BY
Mingtao Ou;71277;True;WRITTEN_BY
Qingyuan Yang;71277;True;WRITTEN_BY
Rong Zhao;71277;True;WRITTEN_BY
Xinglong Ji;71277;True;WRITTEN_BY
Edward B. Eichelberger;71278;True;WRITTEN_BY
Thomas W. Williams;71278;True;WRITTEN_BY
Christos A. Papachristou;71279;True;WRITTEN_BY
Haidar Harmanani;71279;True;WRITTEN_BY
Mehrdad Nourani;71279;True;WRITTEN_BY
Abhinav Parihar;71280;True;WRITTEN_BY
Arijit Raychowdhury;71280;True;WRITTEN_BY
Matthew Cotter;71280;True;WRITTEN_BY
Nikhil Shukla;71280;True;WRITTEN_BY
Suman Datta;71280;True;WRITTEN_BY
Juan Escobedo;71281;True;WRITTEN_BY
Mingjie Lin;71281;True;WRITTEN_BY
George Entenman;71282;True;WRITTEN_BY
Stephen W. Daniel;71282;True;WRITTEN_BY
Hoeseok Yang;71283;True;WRITTEN_BY
Iuliana Bacivarov;71283;True;WRITTEN_BY
Lars Schor;71283;True;WRITTEN_BY
Lothar Thiele;71283;True;WRITTEN_BY
Anand Raghunathan;71284;True;WRITTEN_BY
Antonis M. Paschalis;71284;True;WRITTEN_BY
Dimitris Gizopoulos;71284;True;WRITTEN_BY
Mihalis Psarakis;71284;True;WRITTEN_BY
Miltiadis Hatzimihail;71284;True;WRITTEN_BY
Srivaths Ravi 0001;71284;True;WRITTEN_BY
Malay K. Ganai;71285;True;WRITTEN_BY
Rajesh Gupta 0001;71285;True;WRITTEN_BY
Sudipta Kundu;71285;True;WRITTEN_BY
Faen Zhang;71286;True;WRITTEN_BY
Lei Liu 0037;71286;True;WRITTEN_BY
Lu Peng 0001;71286;True;WRITTEN_BY
Sui Chen;71286;True;WRITTEN_BY
Heiko Falk;71287;True;WRITTEN_BY
Jan C. Kleinsorge;71287;True;WRITTEN_BY
David Atienza 0001;71288;True;WRITTEN_BY
Francesco Poletti;71288;True;WRITTEN_BY
Francky Catthoor;71288;True;WRITTEN_BY
Jose Manuel Mendias;71288;True;WRITTEN_BY
Luca Benini;71288;True;WRITTEN_BY
Paul Marchal;71288;True;WRITTEN_BY
Ching-Wei Yeh;71289;True;WRITTEN_BY
Min-Cheng Chang;71289;True;WRITTEN_BY
Shih-Chieh Chang 0001;71289;True;WRITTEN_BY
Wen-Ben Jone;71289;True;WRITTEN_BY
Dong-In Kang;71290;True;WRITTEN_BY
